id;lastpage;startlanguage;seed;age;colorVision;gender;gender[other];experienceAI2[6];experienceAI2[1];experienceAI2[2];experienceAI2[3];experienceAI2[4];experienceAI2[5];experienceAI2[other];experienceHealth2[1];experienceHealth2[2];experienceHealth2[3];experienceHealth2[4];experienceHealth2[5];experienceHealth2[6];experienceHealth2[7];experienceHealth2[other];outcomeAI[1];condition;iexplorermobile;description0;description1;description2;ownPredText;image1;image2;image3;image4;image5;image6;image7;image8;image9;image10;image11;image12;flag1;flag2;flag3;flag4;flag5;flag6;flag7;flag8;flag9;flag10;flag11;flag12;lastPrediction;next;healthInfo;lrpInfo;lrpInfo2;counterfactualInfo;counterfactualInfo2;limeInfo;limeInfo2;healthQuiz;KIrightQuiz;healthQuiz2;lrpQuiz;limeQuiz;ganQuiz1;ganQuiz2;lastAIPrediction1;description10;description11;description12;pictures1;slider1;ownPrediction1;ownConfidence1[howConfident];aiPrediction1;confidence1[howConfident];justification1;lastAIPrediction2;description20;description21;description22;pictures2;slider2;ownPrediction2;ownConfidence2[howConfident];aiPrediction2;confidence2[howConfident];justification2;lastAIPrediction3;description30;description31;description32;pictures3;slider3;ownPrediction3;ownConfidence3[howConfident];aiPrediction3;confidence3[howConfident];justification3;lastAIPrediction4;description40;description41;description42;pictures4;slider4;ownPrediction4;ownConfidence4[howConfident];aiPrediction4;confidence4[howConfident];justification4;lastAIPrediction5;description50;description51;description52;pictures5;slider5;ownPrediction5;ownConfidence5[howConfident];aiPrediction5;confidence5[howConfident];justification5;lastAIPrediction6;description60;description61;description62;pictures6;slider6;ownPrediction6;ownConfidence6[howConfident];aiPrediction6;confidence6[howConfident];justification6;lastAIPrediction7;description70;description71;description72;pictures7;slider7;ownPrediction7;ownConfidence7[howConfident];aiPrediction7;confidence7[howConfident];justification7;lastAIPrediction8;description80;description81;description82;pictures8;slider8;ownPrediction8;ownConfidence8[howConfident];aiPrediction8;confidence8[howConfident];justification8;lastAIPrediction9;description90;description91;description92;pictures9;slider9;ownPrediction9;ownConfidence9[howConfident];aiPrediction9;confidence9[howConfident];justification9;lastAIPrediction10;description100;description101;description102;pictures10;slider10;ownPrediction10;ownConfidence10[howConfident];aiPrediction10;confidence10[howConfident];justification10;lastAIPrediction11;description110;description111;description112;pictures11;slider11;ownPrediction11;ownConfidence11[howConfident];aiPrediction11;confidence11[howConfident];justification11;lastAIPrediction12;description120;description121;description122;pictures12;slider12;ownPrediction12;ownConfidence12[howConfident];aiPrediction12;confidence12[howConfident];justification12;featurePneumonia;featureHealthy;explanationReminder1;explanationReminder2;explSatisfaction[1];explSatisfaction[2];explSatisfaction[3];explSatisfaction[4];explSatisfaction[5];explSatisfaction[6];IntroEmoCompTrust;TrustRating[1];TrustRating[2];CompetenceRating[1];EmotionRating[1];EmotionRating[3];EmotionRating[4];EmotionRating[6];EmotionRating[8];EmotionRating[9];EmotionRating[11];EmotionRating[12];EmotionRating[13];EmotionRating[14];EmotionRating[15];IntroPracticalAppl;PracticalApplRating[1];PracticalApplAreas[1];PracticalApplAreas[2];PracticalApplAreas[3];PracticalApplAreas[4];PracticalApplAreas[5];PracticalApplAreas[other];comment;interviewtime;groupTime765;ageTime;colorVisionTime;genderTime;experienceAI2Time;experienceHealth2Time;outcomeAITime;clickerIDTime;clickerUsernameTime;conditionTime;iexplorermobileTime;groupTime764;description0Time;description1Time;description2Time;ownPredTextTime;image1Time;image2Time;image3Time;image4Time;image5Time;image6Time;image7Time;image8Time;image9Time;image10Time;image11Time;image12Time;flag1Time;flag2Time;flag3Time;flag4Time;flag5Time;flag6Time;flag7Time;flag8Time;flag9Time;flag10Time;flag11Time;flag12Time;lastPredictionTime;nextTime;groupTime766;healthInfoTime;groupTime771;lrpInfoTime;lrpInfo2Time;counterfactualInfoTime;counterfactualInfo2Time;limeInfoTime;limeInfo2Time;groupTime770;healthQuizTime;KIrightQuizTime;healthQuiz2Time;lrpQuizTime;limeQuizTime;ganQuiz1Time;ganQuiz2Time;groupTime761;lastAIPrediction1Time;description10Time;description11Time;description12Time;pictures1Time;slider1Time;ownPrediction1Time;ownConfidence1Time;aiPrediction1Time;confidence1Time;justification1Time;groupTime772;lastAIPrediction2Time;description20Time;description21Time;description22Time;pictures2Time;slider2Time;ownPrediction2Time;ownConfidence2Time;aiPrediction2Time;confidence2Time;justification2Time;groupTime773;lastAIPrediction3Time;description30Time;description31Time;description32Time;pictures3Time;slider3Time;ownPrediction3Time;ownConfidence3Time;aiPrediction3Time;confidence3Time;justification3Time;groupTime774;lastAIPrediction4Time;description40Time;description41Time;description42Time;pictures4Time;slider4Time;ownPrediction4Time;ownConfidence4Time;aiPrediction4Time;confidence4Time;justification4Time;groupTime775;lastAIPrediction5Time;description50Time;description51Time;description52Time;pictures5Time;slider5Time;ownPrediction5Time;ownConfidence5Time;aiPrediction5Time;confidence5Time;justification5Time;groupTime776;lastAIPrediction6Time;description60Time;description61Time;description62Time;pictures6Time;slider6Time;ownPrediction6Time;ownConfidence6Time;aiPrediction6Time;confidence6Time;justification6Time;groupTime777;lastAIPrediction7Time;description70Time;description71Time;description72Time;pictures7Time;slider7Time;ownPrediction7Time;ownConfidence7Time;aiPrediction7Time;confidence7Time;justification7Time;groupTime779;lastAIPrediction8Time;description80Time;description81Time;description82Time;pictures8Time;slider8Time;ownPrediction8Time;ownConfidence8Time;aiPrediction8Time;confidence8Time;justification8Time;groupTime778;lastAIPrediction9Time;description90Time;description91Time;description92Time;pictures9Time;slider9Time;ownPrediction9Time;ownConfidence9Time;aiPrediction9Time;confidence9Time;justification9Time;groupTime780;lastAIPrediction10Time;description100Time;description101Time;description102Time;pictures10Time;slider10Time;ownPrediction10Time;ownConfidence10Time;aiPrediction10Time;confidence10Time;justification10Time;groupTime781;lastAIPrediction11Time;description110Time;description111Time;description112Time;pictures11Time;slider11Time;ownPrediction11Time;ownConfidence11Time;aiPrediction11Time;confidence11Time;justification11Time;groupTime782;lastAIPrediction12Time;description120Time;description121Time;description122Time;pictures12Time;slider12Time;ownPrediction12Time;ownConfidence12Time;aiPrediction12Time;confidence12Time;justification12Time;groupTime768;featurePneumoniaTime;featureHealthyTime;explanationReminder1Time;explanationReminder2Time;explSatisfactionTime;IntroEmoCompTrustTime;TrustRatingTime;CompetenceRatingTime;EmotionRatingTime;IntroPracticalApplTime;PracticalApplRatingTime;PracticalApplAreasTime;commentTime
3;0;en;844354720;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;en;1339642552;64;;1;;;;;Y;;;;;Y;;;;;;;3;2;;;;;Do you think the original x-ray (on the left side of the slider) shows a person suffering from pneumonia or not?;/surveys/upload/surveys/294489/images/image_1_counterfactual.png;/surveys/upload/surveys/294489/images/image_2_counterfactual.png;/surveys/upload/surveys/294489/images/image_3_counterfactual.png;/surveys/upload/surveys/294489/images/image_4_counterfactual.png;/surveys/upload/surveys/294489/images/image_5_counterfactual.png;/surveys/upload/surveys/294489/images/image_6_counterfactual.png;/surveys/upload/surveys/294489/images/image_7_counterfactual.png;/surveys/upload/surveys/294489/images/image_8_counterfactual.png;/surveys/upload/surveys/294489/images/image_9_counterfactual.png;/surveys/upload/surveys/294489/images/image_10_counterfactual.png;/surveys/upload/surveys/294489/images/image_11_counterfactual.png;/surveys/upload/surveys/294489/images/image_12_counterfactual.png;0;0;0;0;0;0;0;0;0;0;0;0;-1;;;;;;;;;A1;A1;;;;A2;A1;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224.3;164.88;;;;;;;;;;;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.78;;8.01;;;;;;;27.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0;en;1586099192;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;3;en;2032801818;57;;2;;;Y;;Y;;;;;Y;;;Y;;;;4;2;;;;;Do you think the original x-ray (on the left side of the slider) shows a person suffering from pneumonia or not?;/surveys/upload/surveys/294489/images/image_1_counterfactual.png;/surveys/upload/surveys/294489/images/image_2_counterfactual.png;/surveys/upload/surveys/294489/images/image_3_counterfactual.png;/surveys/upload/surveys/294489/images/image_4_counterfactual.png;/surveys/upload/surveys/294489/images/image_5_counterfactual.png;/surveys/upload/surveys/294489/images/image_6_counterfactual.png;/surveys/upload/surveys/294489/images/image_7_counterfactual.png;/surveys/upload/surveys/294489/images/image_8_counterfactual.png;/surveys/upload/surveys/294489/images/image_9_counterfactual.png;/surveys/upload/surveys/294489/images/image_10_counterfactual.png;/surveys/upload/surveys/294489/images/image_11_counterfactual.png;/surveys/upload/surveys/294489/images/image_12_counterfactual.png;0;0;0;0;0;0;0;0;0;0;0;0;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1974.56;978.88;;;;;;;;;;;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;994.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;en;253454627;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;18;en;1933217702;45;;1;;;Y;Y;Y;Y;;;;Y;;;;;;;4;2;;;;;Do you think the original x-ray (on the left side of the slider) shows a person suffering from pneumonia or not?;/surveys/upload/surveys/294489/images/image_1_counterfactual.png;/surveys/upload/surveys/294489/images/image_2_counterfactual.png;/surveys/upload/surveys/294489/images/image_3_counterfactual.png;/surveys/upload/surveys/294489/images/image_4_counterfactual.png;/surveys/upload/surveys/294489/images/image_5_counterfactual.png;/surveys/upload/surveys/294489/images/image_6_counterfactual.png;/surveys/upload/surveys/294489/images/image_7_counterfactual.png;/surveys/upload/surveys/294489/images/image_8_counterfactual.png;/surveys/upload/surveys/294489/images/image_9_counterfactual.png;/surveys/upload/surveys/294489/images/image_10_counterfactual.png;/surveys/upload/surveys/294489/images/image_11_counterfactual.png;/surveys/upload/surveys/294489/images/image_12_counterfactual.png;0;0;0;0;0;0;0;0;0;0;0;0;-1;;;;;;;;;A4;A2;;;;A2;A1;;;;;;1;sick;6;sick;6;As I move the slider right, the lungs appear to clear up and, if this is the counterfactual, the decision ought to have been that the original image was classified as suffering from pneumonia.;;;;;;1;sick;6;sick;6;The lungs get clearer when the slider is on the right, so the original should have been classified as having pneumonia.;;;;;;1;sick;6;sick;6;The lungs are clearer when the slider is to the right, so the original should have been classified as having pneumonia.;;;;;;1;sick;5;sick;6;The lungs get clearer when the slider is to the right, so the original ought to have been classified as having pneumonia.;;;;;;1;sick;6;sick;6;As the slider moves to the right, the lungs are clearer.  The original is therefore the image with pneumonia.;;;;;;1;sick;5;sick;6;Similar to the last image, the lungs clear up as I move the slider to the right, so when the slider is to the right this ought to have been classified as the 'not suffering' image, meaning that the original should have been classified as having pneumonia.;;;;;;1;healt;4;healt;6;The lungs look clearer in the original image so the AI is likely to have classified this as the image that does not have pneumonia;;;;;;1;healt;4;healt;6;The lungs are clearer in the original image, so it should be the one that is categorized as not having pneumonia;;;;;;1;healt;4;healt;6;The image of the lungs is less dark when the slider is on the left, so it ought to have been classified as the image without pneumonia.;;;;;;1;healt;1;healt;5;To my eyes pneumonia is present in both images.  However, even though the lungs look to be obstructed in the original, the counterfactual is worse, so when the slider is to the right the AI should have classified the image as having pneumonia. Logically the original should therefore have been classified as not having pneumonia.;;;;;;1;healt;5;healt;6;The lungs look darker in the original so it should have been classified as the image that does not have pneumonia;;;;;;1;healt;5;healt;6;The lungs look clearer (darker) in the original image.;It is looking for lighter patches within the areas it thinks are the lungs, and comparing the patterns it 'sees' to previously categorized examples.;It is looking for larger dark areas in the area of the lungs and comparing what it 'sees' to previously classified examples.;;;4;4;3;3;4;2;;4;4;7;1;3;2;5;1;4;6;3;2;1;1;;4;Y;Y;Y;Y;;;n/a;2193.37;91.02;;;;;;;;;;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76.93;;60.62;;;;;;;46.2;;;;;;;;150.5;;;;;;;;;;;;66.54;;;;;;;;;;;;66.6;;;;;;;;;;;;88.14;;;;;;;;;;;;49.6;;;;;;;;;;;;176.77;;;;;;;;;;;;101.55;;;;;;;;;;;;106.92;;;;;;;;;;;;137.81;;;;;;;;;;;;230.31;;;;;;;;;;;;107.23;;;;;;;;;;;;70.8;;;;;;;;;;;;565.26;;;;;;;;;;;;;
9;5;en;1437532120;44;;2;;;Y;;;Y;;;;;;Y;;Y;;;5;2;;;;;Do you think the original x-ray (on the left side of the slider) shows a person suffering from pneumonia or not?;/surveys/upload/surveys/294489/images/image_1_counterfactual.png;/surveys/upload/surveys/294489/images/image_2_counterfactual.png;/surveys/upload/surveys/294489/images/image_3_counterfactual.png;/surveys/upload/surveys/294489/images/image_4_counterfactual.png;/surveys/upload/surveys/294489/images/image_5_counterfactual.png;/surveys/upload/surveys/294489/images/image_6_counterfactual.png;/surveys/upload/surveys/294489/images/image_7_counterfactual.png;/surveys/upload/surveys/294489/images/image_8_counterfactual.png;/surveys/upload/surveys/294489/images/image_9_counterfactual.png;/surveys/upload/surveys/294489/images/image_10_counterfactual.png;/surveys/upload/surveys/294489/images/image_11_counterfactual.png;/surveys/upload/surveys/294489/images/image_12_counterfactual.png;0;0;0;0;0;0;0;0;0;0;0;0;-1;;;;;;;;;A2;A2;;;;A3;A1;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153.05;61.6;;;;;;;;;;;2.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.94;;13;;;;;;;34.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
