;seed;age;gender;condition;correct_Ai_Predictions_percent;explSatisfaction_mean;Trust_mean;featurePneumonia;featureHealthy;comment;ignored_sliders;ownPred=AiPred;correct_own_Predictions_percent;correct_Predictions_ForWrongAi_percent;correct_Predictions_ForCorrectAi_percent;meanConfidence;correctMeanConfidence;falseMeanConfidence;TimePrediction_mean;totalTime;experienceHealth_none;experienceHealth_interested;experienceHealth_work;experienceHealth_doctor;experienceHealth_pulmonologist;experienceHealth_research;experienceHealth_xRays;experienceHealth_other;experienceAI_none;experienceAI_media;experienceAI__privateLife;experienceAI_work;experienceAI_relatedCourse;experienceAI_research;experienceAI_other;outcomeAI[1];CompetenceRating[1];Anger_mean;Happy_mean;Relaxation_mean;PracticalApplRating[1];PracticalApplAreas_additionToMedicalPersonel;PracticalApplAreas_diagnosis;PracticalApplAreas_supportForMedicalExplanation;PracticalApplAreas_routineExaminations;PracticalApplAreas_screeningAtHome;PracticalApplAreas_other
1;184761891;23.0;2.0;1;0.8333333333333334;2.5;3.0;Areas of clarity vs blurry;Areas of clarity;;6;1.0;0.5;1.0;0.75;1.8333333333333333;2.0;1.0;26.450000000000003;900.65;;;Y;;;;;;;Y;;;;;;4.0;3.0;1.3333333333333333;1.0;1.75;3.0;Y;;Y;Y;;
2;357871661;40.0;1.0;0;0.5833333333333334;3.0;3.0;the heat map analysis;the remaining unaffected areas;no;0;1.0;0.75;0.3333333333333333;0.8333333333333334;3.5;3.4285714285714284;3.6;50.67916666666667;2462.7;;Y;;;;;;;;Y;;;;;;3.0;3.0;1.0;2.0;1.75;3.0;;;;;Y;
3;42317036;38.0;1.0;0;0.4166666666666667;4.0;4.0;How cloudy or foggy the lungs appear to be.;How clear and unclouded the lungs appear.;no;0;1.0;0.75;0.16666666666666666;0.6666666666666666;4.5;4.6;4.428571428571429;72.40333333333335;1447.1;;Y;;;;;;;;Y;;;;;;5.0;5.0;1.0;5.0;5.0;5.0;Y;Y;Y;Y;;
5;158014657;39.0;2.0;1;0.6666666666666666;3.3333333333333335;3.5;The lungs themselves;Other areas and organs in the body;;0;1.0;0.5;0.6666666666666666;0.6666666666666666;3.5;3.375;3.75;148.87333333333336;2451.17;Y;;;;;;;;;Y;;;;;;4.0;7.0;1.0;4.5;5.25;5.0;Y;;Y;Y;Y;
6;1543980992;42.0;2.0;1;0.5;2.3333333333333335;1.5;The clarity of the image in different parts selected, and then the contrast and how much variation there is in the contrast in different areas.;Clearly identifiable airways and clear patches.;It would have been interesting to know if the AI had been correct in each situation.;0;0.75;0.5833333333333334;0.5;0.5;2.4166666666666665;2.3333333333333335;2.5;102.80416666666667;1793.19;;Y;;;;;;;;Y;;;;;;3.0;2.0;3.3333333333333335;3.0;1.0;2.0;Y;;Y;;;
7;1117347031;38.0;2.0;1;0.6666666666666666;3.3333333333333335;4.0;AI pays attention to any type of anomaly in the patients' lungs.;It seems to pay attention to clear looking x-rays of the lungs.;;0;0.9166666666666666;0.4166666666666667;0.6666666666666666;0.6666666666666666;5.166666666666667;5.125;5.25;42.324999999999996;1146.65;;Y;;;;;;;;;Y;;;;;4.0;7.0;1.0;6.5;6.5;5.0;Y;Y;Y;Y;;
8;825726953;51.0;2.0;0;0.75;4.0;4.0;The A.I. pays attention to images of water in the lungs to predict pneumonia. ;It pays attention to how clear the lungs are to predict healthy lungs. ;This was very intriguing. ;0;1.0;0.5833333333333334;0.6666666666666666;0.8333333333333334;4.5;4.333333333333333;5.0;70.84083333333335;1532.35;;Y;;;;;;;;;Y;;;;;4.0;7.0;1.0;3.75;3.5;3.0;Y;;Y;;;
9;1894117389;52.0;1.0;1;0.5833333333333334;2.3333333333333335;2.0;Cloudy patterns on the X-ray, particular shapes where pneumonia has been detected in previous cases.;Clear images over the lungs, lack of evident congestion or inflammation.;Quite a humbling experience--for me, if not for the AI system!;0;1.0;0.5833333333333334;0.5;0.6666666666666666;5.083333333333333;5.142857142857143;5.0;103.60083333333334;2039.56;;Y;;;;;;;;Y;;;;;;4.0;4.0;1.6666666666666667;3.0;2.25;3.0;Y;;Y;Y;;
10;1575757263;40.0;1.0;1;0.45454545454545453;3.0;3.5;The cloudiness of the lung when it in the green area.;The lungs seem to have an even spread of not being cloudy.;this was a great survey and I would like to see more of them.;1;0.9090909090909091;0.7272727272727273;0.16666666666666666;0.8;3.6363636363636362;4.6;2.8333333333333335;75.83363636363637;1740.08;;Y;;;;;;;;Y;Y;;;;;5.0;7.0;2.0;4.5;4.75;5.0;Y;Y;;;;
11;1614048419;34.0;1.0;1;0.5833333333333334;3.5;3.0;I thought on the white areas which can show liquids;How clear the picture of the lungs;;0;1.0;0.5833333333333334;0.5;0.6666666666666666;3.6666666666666665;3.2857142857142856;4.2;43.39333333333334;1047.99;Y;;;;;;;;;Y;;;;;;2.0;1.0;2.0;4.5;5.5;4.0;Y;;;Y;;
15;2094374856;48.0;2.0;0;0.3333333333333333;4.0;4.0;Where the inflamed areas are;Clear dark areas on the x ray;;0;0.9166666666666666;0.5833333333333334;0.3333333333333333;0.3333333333333333;4.5;4.75;4.375;49.8825;964.15;Y;;;;;;;;Y;Y;;;;;;5.0;6.0;1.0;5.75;5.75;5.0;Y;Y;Y;Y;;
16;623296333;55.0;2.0;1;0.5;3.1666666666666665;3.0;It detects any cloudiness and lack of clarity in the green highlighted areas.;It detects a clear image of the lungs, with no cloudiness, in the green highlighted areas.;Interesting survey.;0;0.9166666666666666;0.4166666666666667;0.5;0.5;5.0;5.0;5.0;142.205;2595.55;Y;Y;;;;;;;Y;Y;;;;;;3.0;5.0;1.6666666666666667;1.25;1.0;3.0;Y;Y;Y;;;
17;73944353;43.0;2.0;1;0.4166666666666667;2.8333333333333335;2.0;the heat signatures and the discoloration of the lungs;the colour of the lungs;no;0;0.75;0.6666666666666666;0.16666666666666666;0.6666666666666666;4.75;5.2;4.428571428571429;50.509999999999984;1295.46;Y;Y;;;;;;;Y;Y;Y;;;;;4.0;4.0;1.0;5.5;6.0;4.0;Y;;Y;Y;;
19;2010363055;29.0;1.0;0;0.5;1.0;1.0;Don't know;Don't know;What was the point of the bonus though, was it just to annoy me?;0;1.0;0.5;0.5;0.5;2.9166666666666665;3.1666666666666665;2.6666666666666665;71.81166666666668;2252.48;;Y;;;;;;;;Y;;;;;;5.0;1.0;7.0;1.0;1.0;3.0;;Y;;;;
21;1981570267;46.0;1.0;1;0.5;3.0;4.0;Indistinct edges to the side of the lungs, wall of the heart and the top of the diaphragm and possible shadows.;Good clean edges to the side of the lungs, wall of the heart and the top of the diaphragm, clearly defined airways in the lungs and an absence of shadows.;Interesting study, thank you;0;0.75;0.5833333333333334;0.3333333333333333;0.6666666666666666;5.333333333333333;5.833333333333333;4.833333333333333;138.07416666666668;2304.6;;Y;;;;;;;;Y;;;;;;5.0;4.0;1.0;4.75;4.75;5.0;;Y;;Y;;
22;452786103;49.0;1.0;1;0.3333333333333333;2.8333333333333335;2.0;areas of the body showing signs as well as the amount of the infection;is the xray clear? as well as where the infection might be;;0;1.0;0.5;0.3333333333333333;0.3333333333333333;6.083333333333333;6.25;6.0;23.037499999999998;646.75;;Y;;;;;;;;Y;Y;;;;;4.0;6.0;1.6666666666666667;1.25;4.5;4.0;Y;;Y;Y;;
23;2016410738;33.0;1.0;0;0.5;2.5;2.0;pale areas;dark areas;;0;0.8333333333333334;0.6666666666666666;0.5;0.5;4.083333333333333;4.0;4.166666666666667;45.879999999999995;1100.32;;Y;;;;;;;;Y;;;;;;5.0;3.0;1.3333333333333333;2.25;3.0;5.0;Y;Y;Y;;;
25;682278026;33.0;2.0;0;0.25;1.8333333333333333;2.0;lower contrast and areas that appear cloudy.;Ribs clearly visible and lots of dark areas, high contrast.;;8;1.0;1.0;0.0;1.0;4.25;5.0;4.0;74.7425;1366.21;;Y;;;;;;;;Y;;;;;;5.0;1.0;3.6666666666666665;1.75;2.5;2.0;Y;;Y;;;
26;441501538;37.0;1.0;1;0.3333333333333333;3.8333333333333335;5.0;Ive noticed that there is like a grey smoke or where its supposed to be black it looks greyish ;blackness and clear sight of the lungs;;3;1.0;0.3333333333333333;0.5;0.2;5.0;5.0;5.0;32.01;555.17;;;Y;;;;;;;Y;;;;;;5.0;3.0;1.3333333333333333;5.0;5.0;5.0;Y;Y;Y;Y;Y;
27;1810096970;31.0;3.0;1;0.5;2.1666666666666665;3.0;the position ;the position and weather the x-ray image is cloudy or not;;0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.3333333333333333;2.1666666666666665;1.6666666666666667;2.6666666666666665;74.84250000000002;1542.67;Y;;;;;;;;;Y;;;;;;4.0;6.0;1.0;1.0;1.5;5.0;;Y;Y;Y;;
28;1412602397;45.0;2.0;0;0.3333333333333333;4.0;4.0;Lots of green pixels concentrated in one area. ;Areas where there aren't many green pixels. ;;0;0.9166666666666666;0.5833333333333334;0.3333333333333333;0.3333333333333333;5.833333333333333;6.0;5.75;55.715;1003.88;;Y;;;;;;;;Y;;;;;;5.0;8.0;1.0;1.0;1.5;4.0;Y;;Y;Y;Y;
29;599870172;44.0;1.0;0;0.5454545454545454;2.8333333333333335;2.5;The lighter areas on the Images;The darker areas on the images;no;1;0.9090909090909091;0.6363636363636364;0.5;0.6;4.818181818181818;4.833333333333333;4.8;72.44454545454545;1412.35;;Y;;;;;;;;Y;;;;;;3.0;5.0;1.3333333333333333;2.5;3.0;3.0;Y;Y;Y;Y;Y;
34;1273749012;47.0;1.0;1;0.6666666666666666;3.5;3.0;AI seems to look for the opacity of the tissue under x-ray which causes false positives around other pathology;The AI can only predict healthy lungs when it is correctly identifying the lungs themselves and not other pathology;Machine learning is just that - a student may eventually become better than their teacher but they need to be supervised at first;0;0.5;0.8333333333333334;0.5;0.8333333333333334;4.583333333333333;4.5;4.75;112.10749999999997;2174.7;;;Y;;;;;;;Y;;Y;;;;4.0;6.0;1.0;3.0;3.0;3.0;;;Y;;;
38;1948924628;53.0;1.0;1;0.5;3.6666666666666665;2.5;The lower sections of both lungs, and also the upper abdomen. It seemed to have a few problems with obese(?) patients in respect of the latter.  ;Areas outside the chest (e.g. shoulder joint) and even outside the body (!!) seemed to be the most reliable predictor of this diagnosis for some examples, which is hardly surprising! Other than that, paying attention the upper lungs (especially the left) seemed to be the most common approach when this diagnosis was given. ;No, everything was clear enough.;0;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.6666666666666666;4.833333333333333;5.166666666666667;4.5;146.80416666666665;2836.65;;Y;;;;;;;;Y;;;;;;4.0;6.0;1.0;4.75;3.75;4.0;Y;;Y;;;
39;321471218;31.0;2.0;1;0.4166666666666667;1.8333333333333333;2.0;I thought it was to do with how dark (or unclouded) the green highlighted areas where, however this seemed to have little bearing on its decision. ;It may be comparing the lighted areas with the darkest (least clouded) areas for contrast. ;;0;0.9166666666666666;0.3333333333333333;0.6666666666666666;0.16666666666666666;3.75;3.4;4.0;69.03416666666666;1467.75;;Y;;;;;;;;Y;;;;;;4.0;1.0;2.6666666666666665;1.75;2.0;3.0;Y;;Y;;;
40;221585139;32.0;3.0;1;0.75;3.3333333333333335;3.0;"I believe it tries to detect which areas of the image seem ""cloudier"" than others, but this can lead to mistaken diagnoses, especially when breast tissue is involved.";I think it's looking for lungs that are much clearer than others.;;0;0.9166666666666666;0.6666666666666666;0.6666666666666666;0.8333333333333334;5.916666666666667;5.888888888888889;6.0;27.707499999999996;613.72;;Y;;;;;;;;Y;;;;Y;;4.0;8.0;1.0;3.5;4.0;3.0;Y;;Y;;;
41;986071554;20.0;1.0;1;0.5;3.3333333333333335;4.5;The visibility of the skeleton. I feel that the more clouded areas of the skeleton play a factor in the AI behaviour.;When the area around the lungs are more visible and less cloudy.;;0;1.0;0.3333333333333333;0.6666666666666666;0.3333333333333333;5.25;5.833333333333333;4.666666666666667;37.487500000000004;698.83;;Y;;;;;;;;;;Y;;;;3.0;8.0;1.0;4.5;4.5;4.0;;Y;Y;;;
42;1856403303;29.0;1.0;0;0.5833333333333334;2.6666666666666665;2.0;Pays attention firstly to anything unusual about the scan, but also picks out keys parts of the lung that would most likely be affected first by pneumonia, and if they appear healthy, it is likely to determine patient as not infected.;As above, I think the AI picks out keys parts of the lung that would most likely be affected first by pneumonia and if they appear healthy, it is likely to determine patient as not infected.;;0;0.75;0.6666666666666666;0.5;0.6666666666666666;4.333333333333333;4.428571428571429;4.2;88.20333333333332;1947.43;Y;;;;;;;;;Y;Y;;;;;4.0;6.0;1.3333333333333333;2.75;3.25;4.0;Y;Y;Y;Y;;
43;894669066;30.0;1.0;2;0.3333333333333333;2.3333333333333335;1.5;Spread of cloud in lungs;clear lungs;;0;0.9166666666666666;0.4166666666666667;0.3333333333333333;0.3333333333333333;5.083333333333333;5.25;5.0;83.87833333333332;2031.29;;Y;;;;;;;;;;Y;;Y;;2.0;6.0;1.0;5.0;6.0;3.0;Y;;;Y;;
44;1061635578;46.0;2.0;2;0.75;3.1666666666666665;4.0;The lack of black and white contrast and cloudiness of the image. It may also look to see if the left lung looks similar to the right lung.;If there is a lot of black and white contrast and little cloudiness in the image. It may also look to see if the left lung looks identical to the right lung in terms of contrast and cloudiness.;;0;0.9166666666666666;0.5;0.8333333333333334;0.6666666666666666;5.416666666666667;5.444444444444445;5.333333333333333;94.61333333333333;3534.63;Y;;;;;;;;;Y;;;;;;6.0;8.0;1.0;5.75;5.5;3.0;Y;;Y;;;
48;120111775;47.0;1.0;0;0.5;1.0;1.0;It is difficult to say from the sample size. I initially thought it used a brighter greyscale to predict but this changed as time went on and it became more random.;Initially a clear view of the ribs with darkness between. This became more random though.;;0;0.9166666666666666;0.75;0.3333333333333333;0.6666666666666666;5.916666666666667;6.166666666666667;5.666666666666667;47.09083333333333;1277.01;;Y;;;;;;;;;Y;;;;;5.0;3.0;1.6666666666666667;5.25;6.0;1.0;Y;Y;Y;Y;Y;
49;2025513355;40.0;1.0;2;0.75;3.5;4.0;The cloudiness of the lower part of the lungs;It is looking for a darker set of lungs;;0;0.9166666666666666;0.6666666666666666;0.5;1.0;5.75;5.888888888888889;5.333333333333333;38.41416666666667;1006.24;;Y;;;;;;;;Y;Y;;;;;5.0;7.0;1.0;4.75;5.5;4.0;;Y;Y;;Y;
50;1810251108;60.0;2.0;1;0.5833333333333334;2.6666666666666665;2.0;Areas of cloudiness;Clear areas (dark areas);No;0;0.8333333333333334;0.5833333333333334;0.6666666666666666;0.5;4.166666666666667;4.285714285714286;4.0;56.05249999999999;1060.04;;Y;;;;;;;;Y;;;;;;2.0;1.0;1.0;1.25;2.0;2.0;;;Y;;;
51;1888615655;31.0;1.0;2;0.6666666666666666;2.6666666666666665;1.0;"I feel it looks at the lower part of the lungs and at the inner edge to detect a build up of ""white"" spots or area's.";I looks for more black area's which have while long strips which would be what normal lungs should look like.;AI has come a long way but still has a long way to go before it as good as a trained human in the profession. I personally have Very little cofidence in my ability of detect it and the AI seems quite a bit better but still i feel  a need to have both a human and AI to look at tests like these together as the AI might show something the DR might miss but over all should be solely relied on..;0;0.8333333333333334;0.5;0.6666666666666666;0.6666666666666666;2.1666666666666665;2.0;2.5;45.229166666666664;1184.27;Y;;;;;;;;;Y;;;;;;3.0;1.0;2.6666666666666665;1.5;1.0;2.0;Y;;Y;;;
53;784779255;21.0;1.0;1;0.6666666666666666;3.5;4.0;The AI checks how blurred or cloudy the regions that the heatmap has chosen. If the heatmap has chosen cloudy areas, then it is likely to predict pneumonia.;The AI checks the clarity of the regions the heatmap has selected. If the area is clear, it predicts that the lungs are healthy.;This was a interesting survey.;0;0.8333333333333334;0.5;0.6666666666666666;0.6666666666666666;5.333333333333333;5.125;5.75;123.78249999999998;2355.17;;Y;;;;;;;;Y;;;;Y;;5.0;8.0;1.3333333333333333;5.5;4.0;5.0;;Y;Y;Y;;
55;649493447;26.0;1.0;1;0.5833333333333334;2.5;4.0;The cloudiness of the image;The clarity of the image;;0;1.0;0.4166666666666667;0.6666666666666666;0.5;4.666666666666667;4.428571428571429;5.0;30.9075;650.67;Y;;;;;;;;;Y;;;;;;6.0;4.0;2.6666666666666665;1.0;1.0;5.0;Y;Y;Y;Y;Y;
56;1171648218;41.0;2.0;2;0.8181818181818182;4.833333333333333;4.0;how cloudy the lung area is. ;how clear the lung area is. ;It's the future! ;1;1.0;0.45454545454545453;0.8333333333333334;0.8;5.363636363636363;5.444444444444445;5.0;43.71818181818182;855.47;;Y;;;;;;;;Y;;;;;;4.0;8.0;1.0;3.0;1.25;5.0;Y;Y;Y;Y;Y;
57;1724691568;31.0;2.0;2;1.0;2.1666666666666665;2.0;I think the AI identifies the area of the image where the lungs are located, and then looks for cloudy, non-transparent coverage.;I think the AI focuses on the lung area of the image, and then looks for clearer, cleaner coverage, with more of the black background showing through.;;0;0.6666666666666666;0.5;1.0;1.0;4.666666666666667;4.666666666666667;NaN;82.7525;1628.54;Y;;;;;;;;Y;;;;;;;4.0;4.0;1.0;3.75;4.75;3.0;Y;;Y;;;
58;743037845;36.0;1.0;1;0.5833333333333334;1.5;3.0;"Clearly, it has more to do with concentrations of green on the heat index; but I couldn't figure out the consistency of its method.";I'm really not sure.;I neither trust nor distrust this AI, as I failed to understand its methods. For all I know, it may be wholly arbitrary as I am no kind of medical expert.;0;0.75;0.8333333333333334;0.3333333333333333;0.8333333333333334;2.25;2.0;2.6;61.1325;1228.5;;Y;;;;;;;;Y;;;;;;2.0;1.0;1.6666666666666667;1.25;1.75;4.0;Y;Y;;Y;;
59;424106523;49.0;2.0;1;0.5833333333333334;1.0;1.0;Heat;Heat;;0;0.6666666666666666;0.5833333333333334;0.16666666666666666;1.0;2.9166666666666665;2.857142857142857;3.0;71.55083333333334;1640.01;Y;;;;;;;;;;;;;;I have done some AI related tasks on platforms like Clickworker eg checking transcription;4.0;4.0;1.0;1.5;2.5;1.0;;;Y;;;
62;2084815651;46.0;1.0;1;0.5;4.0;3.5;yes but it is not perfect;sometime;Thanks for giving me chance in this fabulous survey ;0;0.5;0.6666666666666666;0.3333333333333333;0.6666666666666666;5.333333333333333;5.5;5.166666666666667;380.29749999999996;5834.21;;Y;;;;;;;;Y;Y;;;;;3.0;8.0;3.0;5.5;5.0;4.0;Y;Y;Y;;Y;
64;1929526585;29.0;2.0;2;1.0;2.0;4.5;How cloudy the chest is in the x-ray.;How clear the chest is in the x-ray versus how cloudy it might be.;no;0;1.0;0.5;1.0;1.0;4.25;4.25;NaN;71.6425;1594.68;;Y;;;;;;;Y;;;;;;;4.0;9.0;1.0;1.5;6.0;4.0;;Y;;Y;;
65;770358230;26.0;2.0;0;0.5;2.5;2.0;Don't know;Don't know;;0;0.9166666666666666;0.5833333333333334;0.3333333333333333;0.6666666666666666;3.0;2.6666666666666665;3.3333333333333335;54.619166666666665;1077.11;Y;;;;;;;;;Y;;;Y;;;4.0;6.0;1.0;1.0;1.0;4.0;Y;;;Y;Y;
67;1362831860;67.0;2.0;2;0.5;3.5;4.0;whether the image is cloudy or not;how clear the lungs look;;8;0.75;0.75;0.5;0.5;6.0;7.0;5.0;54.51;925.33;;Y;;;;;;;;Y;Y;;;;;4.0;7.0;1.0;4.0;3.75;4.0;Y;Y;;Y;Y;
69;204008770;25.0;1.0;2;0.5555555555555556;4.333333333333333;4.0;Cloudier image, more artefacts.;Clearer image,  no artefacts. ;AI can work alongside a medical professional now, in future AI can work solo;3;0.8888888888888888;0.5555555555555556;0.4;0.75;4.555555555555555;4.6;4.5;37.43888888888889;837.31;;Y;;;;;;;;Y;;;;;;4.0;7.0;1.6666666666666667;4.25;4.0;5.0;Y;Y;;Y;Y;
70;1820480565;32.0;2.0;2;1.0;3.0;2.5;How cloudy the lungs look and if the area is dark and clear with clear edges around the lungs;How dark the lung area is and if it is clear at the edges;;11;1.0;1.0;NaN;1.0;6.0;6.0;NaN;107.53;1078.98;Y;;;;;;;;;Y;;;;;;3.0;6.0;2.0;2.75;3.25;3.0;Y;;Y;;;
73;619734107;33.0;2.0;1;0.5;1.8333333333333333;4.0;Whether the x-ray is white and cloudy where it wouldn't be expected.;That the areas that are supposed to be black are black.;;0;0.9166666666666666;0.5833333333333334;0.3333333333333333;0.6666666666666666;4.666666666666667;4.833333333333333;4.5;72.28166666666667;1273.31;;Y;;;;;;;;Y;;;;;;5.0;4.0;2.6666666666666665;4.25;5.0;4.0;Y;Y;;Y;;
75;1337971646;24.0;1.0;0;0.7142857142857143;3.8333333333333335;3.5;the white dots and space and lacks of white space;lack of white space;;5;1.0;0.5714285714285714;0.6666666666666666;0.75;5.142857142857143;5.0;5.5;32.910000000000004;670.46;;Y;;;;;;;;Y;Y;Y;Y;;;4.0;8.0;1.3333333333333333;3.5;2.5;4.0;Y;Y;Y;Y;;
76;1652427518;32.0;2.0;1;0.6666666666666666;3.3333333333333335;4.0;white concentrated areas;black areas;no thank you;9;1.0;0.6666666666666666;NaN;0.6666666666666666;5.666666666666667;5.5;6.0;50.129999999999995;858.63;Y;;;;;;;;;Y;Y;;;;;4.0;8.0;1.0;1.25;2.0;4.0;Y;;;;;
79;2086735177;35.0;2.0;1;0.36363636363636365;1.0;3.0;The surrounding tissue of the lungs;The lungs themselves;I'm guessing that trained personnel would have some idea as to how reliable the AI was.;1;0.9090909090909091;0.5454545454545454;0.2;0.5;1.9090909090909092;2.0;1.8571428571428572;53.50818181818182;967.08;;Y;;;;;;;;Y;;;;;;6.0;1.0;2.0;2.0;2.0;3.0;Y;;Y;;;
80;1731145170;36.0;1.0;2;0.8333333333333334;2.8333333333333335;2.0;If the image gets clearer when using the slider, it predicts pneumonia.;If the image gets cloudier when using the slider, it predicts healthy lungs.;;0;0.6666666666666666;0.5;0.8333333333333334;0.8333333333333334;5.083333333333333;5.1;5.0;40.26333333333333;931.51;;Y;;;;;;;;Y;;;;;;4.0;4.0;1.0;4.0;5.5;3.0;Y;;Y;;;
83;1348629807;55.0;2.0;2;0.5;2.6666666666666665;2.5;'fog' over the lungs and thickness of the white shading;how much of the lungs appear clear and without shading;no thanks;0;1.0;0.5;0.5;0.5;3.5833333333333335;3.6666666666666665;3.5;49.72;1188.18;;Y;;;;;;;;;Y;;;;;3.0;4.0;1.0;2.75;2.75;4.0;Y;Y;Y;Y;Y;
84;1418614281;46.0;1.0;2;0.45454545454545453;2.8333333333333335;4.0;Yes;Darker ones;No;1;0.9090909090909091;0.6363636363636364;0.4;0.5;5.454545454545454;6.0;5.0;58.30454545454545;1335.38;;Y;Y;;;;;;;;Y;Y;;;;4.0;8.0;1.0;5.0;4.75;4.0;Y;Y;;;;
85;567064062;27.0;1.0;0;0.6666666666666666;2.1666666666666665;2.0;How blurred the lungs are and the location of where the blur is;how clear the lungs are;;0;1.0;0.6666666666666666;0.5;0.8333333333333334;6.083333333333333;6.125;6.0;18.631666666666664;537.29;Y;;;;;;;;;Y;;;;;;6.0;2.0;1.0;1.0;1.0;4.0;Y;Y;Y;Y;;
86;1665120805;38.0;1.0;0;0.5833333333333334;1.0;3.0;I have no idea. I initially thought the green was more likely to be on the more opaque areas of the lungs, indicating an infection, but as I only scored about 50%, that's clearly not the case. The description and example X-rays at the beginning of the survey are insufficient for a lay-person to make an informed decision, as they don't clearly state what the AI is looking at when diagnosing.;I thought it was the clearer areas of the image, indicating no infection, but that does not seem to be the case.;I don't think sufficient examples with explanations are given for how the AI makes its decision, either at the beginning or during the survey. I still don't know how the AI came to its conclusions, so it would have been nice to have been told after each answer how the AI decided what it did.;0;1.0;0.4166666666666667;0.6666666666666666;0.5;4.0;4.285714285714286;3.6;55.77333333333333;1093.75;Y;;;;;;;;Y;;;;;;;2.0;1.0;4.0;3.5;3.0;3.0;Y;Y;;;Y;
87;191613748;55.0;1.0;0;0.5833333333333334;2.5;2.0;the amount of bright green in the patient's lungs when viewed as a heat map;how much area of the lungs is not green;In some cases I didn't understand why the AI decided that pneumonia was present;0;1.0;0.5833333333333334;0.5;0.6666666666666666;4.583333333333333;4.285714285714286;5.0;59.61333333333334;1443.05;Y;Y;;;;;;;;Y;Y;;;;;4.0;4.0;2.0;2.25;2.5;3.0;Y;Y;Y;Y;;
90;1261959670;28.0;2.0;0;0.6666666666666666;2.1666666666666665;2.5;Areas which are more patchy,;Lack of patchy areas.;The green often didnt tally up with areas of patchiness. There often seemed to be no correlation between areas of unclear lung and the green markings.;0;0.75;0.5833333333333334;0.6666666666666666;0.6666666666666666;5.416666666666667;5.25;5.75;45.98666666666667;868.86;;Y;;;;;;;;Y;;;;;;5.0;7.0;2.0;1.25;1.5;4.0;Y;;Y;;;
91;601999914;55.0;1.0;0;0.5;3.1666666666666665;2.0;Heat map pixelation and area of pixels location;lack of heatmap pixelation in lung areas;;0;1.0;0.6666666666666666;0.3333333333333333;0.6666666666666666;6.166666666666667;6.333333333333333;6.0;77.21249999999999;1845.35;;Y;;;;;;;;Y;Y;;;;;4.0;6.0;2.0;3.5;4.0;3.0;Y;;;;;
